SIDO,STD_YYYYMM,AVG_PM2.5,PM2_BAD
서울특별시,201501,25.0,N
부산광역시,201501,27.0,N
대구광역시,201501,33.0,N
인천광역시,201501,31.0,N
광주광역시,201501,27.0,N
대전광역시,201501,34.0,N
울산광역시,201501,27.0,N
세종특별자치시,201501,,N
경기도,201501,30.25,N
강원도,201501,35.5,Y
충청북도,201501,,N
충청남도,201501,,N
전라북도,201501,,N
전라남도,201501,27.0,N
경상북도,201501,,N
경상남도,201501,26.12,N
제주특별자치도,201501,24.0,N
서울특별시,201502,30.0,N
부산광역시,201502,31.0,N
대구광역시,201502,33.0,N
인천광역시,201502,33.0,N
광주광역시,201502,33.0,N
대전광역시,201502,36.0,Y
울산광역시,201502,32.0,N
세종특별자치시,201502,,N
경기도,201502,36.5,Y
강원도,201502,38.25,Y
충청북도,201502,,N
충청남도,201502,,N
전라북도,201502,,N
전라남도,201502,29.83,N
경상북도,201502,,N
경상남도,201502,31.62,N
제주특별자치도,201502,25.0,N
서울특별시,201503,30.0,N
부산광역시,201503,27.0,N
대구광역시,201503,29.0,N
인천광역시,201503,31.0,N
광주광역시,201503,35.0,N
대전광역시,201503,37.0,Y
울산광역시,201503,29.0,N
세종특별자치시,201503,,N
경기도,201503,34.0,N
강원도,201503,34.5,N
충청북도,201503,,N
충청남도,201503,,N
전라북도,201503,,N
전라남도,201503,29.67,N
경상북도,201503,,N
경상남도,201503,29.25,N
제주특별자치도,201503,31.0,N
서울특별시,201504,21.0,N
부산광역시,201504,24.0,N
대구광역시,201504,22.0,N
인천광역시,201504,30.0,N
광주광역시,201504,24.0,N
대전광역시,201504,23.0,N
울산광역시,201504,25.0,N
세종특별자치시,201504,,N
경기도,201504,23.43,N
강원도,201504,23.5,N
충청북도,201504,27.0,N
충청남도,201504,,N
전라북도,201504,36.0,Y
전라남도,201504,22.0,N
경상북도,201504,,N
경상남도,201504,22.38,N
제주특별자치도,201504,23.0,N
서울특별시,201505,22.0,N
부산광역시,201505,31.0,N
대구광역시,201505,25.0,N
인천광역시,201505,28.0,N
광주광역시,201505,24.0,N
대전광역시,201505,29.0,N
울산광역시,201505,31.0,N
세종특별자치시,201505,,N
경기도,201505,23.62,N
강원도,201505,26.25,N
충청북도,201505,32.0,N
충청남도,201505,,N
전라북도,201505,36.33,Y
전라남도,201505,23.0,N
경상북도,201505,,N
경상남도,201505,27.62,N
제주특별자치도,201505,22.0,N
서울특별시,201506,20.0,N
부산광역시,201506,30.0,N
대구광역시,201506,28.0,N
인천광역시,201506,26.0,N
광주광역시,201506,27.0,N
대전광역시,201506,27.0,N
울산광역시,201506,30.0,N
세종특별자치시,201506,,N
경기도,201506,20.14,N
강원도,201506,21.25,N
충청북도,201506,27.0,N
충청남도,201506,30.0,N
전라북도,201506,38.67,Y
전라남도,201506,26.83,N
경상북도,201506,30.0,N
경상남도,201506,30.12,N
제주특별자치도,201506,25.0,N
서울특별시,201507,19.0,N
부산광역시,201507,21.0,N
대구광역시,201507,20.0,N
인천광역시,201507,23.0,N
광주광역시,201507,22.0,N
대전광역시,201507,19.0,N
울산광역시,201507,22.0,N
세종특별자치시,201507,,N
경기도,201507,18.29,N
강원도,201507,18.25,N
충청북도,201507,17.0,N
충청남도,201507,22.0,N
전라북도,201507,28.0,N
전라남도,201507,22.33,N
경상북도,201507,21.0,N
경상남도,201507,23.5,N
제주특별자치도,201507,22.0,N
서울특별시,201508,22.0,N
부산광역시,201508,23.0,N
대구광역시,201508,,N
인천광역시,201508,27.0,N
광주광역시,201508,22.0,N
대전광역시,201508,20.0,N
울산광역시,201508,24.0,N
세종특별자치시,201508,,N
경기도,201508,21.71,N
강원도,201508,21.5,N
충청북도,201508,21.0,N
충청남도,201508,26.0,N
전라북도,201508,26.0,N
전라남도,201508,23.0,N
경상북도,201508,21.0,N
경상남도,201508,24.25,N
제주특별자치도,201508,21.0,N
서울특별시,201509,16.0,N
부산광역시,201509,16.0,N
대구광역시,201509,15.0,N
인천광역시,201509,21.0,N
광주광역시,201509,,N
대전광역시,201509,18.0,N
울산광역시,201509,13.0,N
세종특별자치시,201509,,N
경기도,201509,16.57,N
강원도,201509,14.0,N
충청북도,201509,17.0,N
충청남도,201509,22.0,N
전라북도,201509,23.0,N
전라남도,201509,18.17,N
경상북도,201509,21.0,N
경상남도,201509,17.38,N
제주특별자치도,201509,14.0,N
서울특별시,201510,24.0,N
부산광역시,201510,25.0,N
대구광역시,201510,25.0,N
인천광역시,201510,31.0,N
광주광역시,201510,30.0,N
대전광역시,201510,33.0,N
울산광역시,201510,22.0,N
세종특별자치시,201510,,N
경기도,201510,25.33,N
강원도,201510,25.0,N
충청북도,201510,37.0,Y
충청남도,201510,,N
전라북도,201510,41.5,Y
전라남도,201510,28.33,N
경상북도,201510,32.0,N
경상남도,201510,23.29,N
제주특별자치도,201510,19.0,N
서울특별시,201511,21.0,N
부산광역시,201511,23.0,N
대구광역시,201511,22.0,N
인천광역시,201511,31.0,N
광주광역시,201511,25.0,N
대전광역시,201511,30.0,N
울산광역시,201511,18.0,N
세종특별자치시,201511,,N
경기도,201511,25.4,N
강원도,201511,23.25,N
충청북도,201511,33.0,N
충청남도,201511,,N
전라북도,201511,38.0,Y
전라남도,201511,23.5,N
경상북도,201511,32.0,N
경상남도,201511,19.88,N
제주특별자치도,201511,20.67,N
서울특별시,201512,28.0,N
부산광역시,201512,29.0,N
대구광역시,201512,31.0,N
인천광역시,201512,38.0,Y
광주광역시,201512,27.0,N
대전광역시,201512,34.0,N
울산광역시,201512,23.0,N
세종특별자치시,201512,,N
경기도,201512,35.6,Y
강원도,201512,35.0,N
충청북도,201512,33.2,N
충청남도,201512,,N
전라북도,201512,41.0,Y
전라남도,201512,26.5,N
경상북도,201512,42.0,Y
경상남도,201512,24.75,N
제주특별자치도,201512,25.33,N
서울특별시,201601,27.0,N
부산광역시,201601,33.0,N
대구광역시,201601,30.0,N
인천광역시,201601,29.0,N
광주광역시,201601,26.0,N
대전광역시,201601,31.0,N
울산광역시,201601,24.0,N
세종특별자치시,201601,,N
경기도,201601,32.8,N
강원도,201601,31.6,N
충청북도,201601,33.2,N
충청남도,201601,32.0,N
전라북도,201601,40.2,Y
전라남도,201601,26.83,N
경상북도,201601,41.0,Y
경상남도,201601,26.25,N
제주특별자치도,201601,27.33,N
서울특별시,201602,23.0,N
부산광역시,201602,29.0,N
대구광역시,201602,25.0,N
인천광역시,201602,25.0,N
광주광역시,201602,24.0,N
대전광역시,201602,26.0,N
울산광역시,201602,21.0,N
세종특별자치시,201602,,N
경기도,201602,27.91,N
강원도,201602,29.2,N
충청북도,201602,27.4,N
충청남도,201602,28.0,N
전라북도,201602,31.4,N
전라남도,201602,26.0,N
경상북도,201602,36.0,Y
경상남도,201602,24.12,N
제주특별자치도,201602,25.33,N
서울특별시,201603,32.0,N
부산광역시,201603,32.0,N
대구광역시,201603,29.0,N
인천광역시,201603,35.0,N
광주광역시,201603,29.0,N
대전광역시,201603,30.0,N
울산광역시,201603,28.0,N
세종특별자치시,201603,,N
경기도,201603,35.91,Y
강원도,201603,36.2,Y
충청북도,201603,34.0,N
충청남도,201603,35.0,N
전라북도,201603,39.6,Y
전라남도,201603,29.33,N
경상북도,201603,42.0,Y
경상남도,201603,27.12,N
제주특별자치도,201603,28.0,N
서울특별시,201604,30.0,N
부산광역시,201604,29.0,N
대구광역시,201604,25.0,N
인천광역시,201604,31.0,N
광주광역시,201604,29.0,N
대전광역시,201604,25.0,N
울산광역시,201604,27.0,N
세종특별자치시,201604,,N
경기도,201604,32.67,N
강원도,201604,30.8,N
충청북도,201604,27.8,N
충청남도,201604,32.0,N
전라북도,201604,35.0,N
전라남도,201604,26.5,N
경상북도,201604,31.0,N
경상남도,201604,25.38,N
제주특별자치도,201604,28.0,N
서울특별시,201605,29.0,N
부산광역시,201605,31.0,N
대구광역시,201605,26.0,N
인천광역시,201605,29.0,N
광주광역시,201605,27.0,N
대전광역시,201605,25.0,N
울산광역시,201605,29.0,N
세종특별자치시,201605,28.0,N
경기도,201605,28.75,N
강원도,201605,29.6,N
충청북도,201605,24.4,N
충청남도,201605,26.75,N
전라북도,201605,32.71,N
전라남도,201605,28.0,N
경상북도,201605,23.67,N
경상남도,201605,28.25,N
제주특별자치도,201605,28.33,N
